"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell32",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"Cell32"
"Cell33",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"Cell33"
"Cell34",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Cell34"
"Cell35",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,"Cell35"
"Cell36",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,"Cell36"
"Cell37",14,13,13,14,13,13,14,13,13,14,13,13,14,13,13,14,14,13,14,13,13,14,13,13,14,14,13,14,14,13,13,13,13,14,14,13,14,14,13,13,14,14,14,14,13,14,14,13,14,14,13,14,14,13,14,13,13,14,14,13,14,14,13,14,14,13,14,14,13,"Cell37"
"Cell38",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,"Cell38"
"Cell39",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"Cell39"
"Cell40",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,"Cell40"
"Cell41",20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,19,20,19,20,19,19,20,19,19,19,20,19,20,19,19,20,20,19,20,19,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,20,20,19,"Cell41"
"Cell42",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,"Cell42"
"Cell43",19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,20,20,20,19,20,19,20,20,19,20,20,20,19,20,19,20,20,19,19,20,19,20,20,19,19,20,19,19,20,19,19,20,19,19,20,19,20,20,19,19,20,"Cell43"
"Cell44",2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,"Cell44"
"Cell45",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Cell45"
"Cell46",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,26,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,25,25,26,25,25,26,25,25,25,25,"Cell46"
"Cell47",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Cell47"
"Cell48",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,"Cell48"
"Cell49",20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,19,20,19,20,19,19,20,19,19,19,20,19,20,19,19,20,20,19,20,19,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,20,20,19,"Cell49"
"Cell50",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,26,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,25,25,26,25,25,26,25,25,25,25,"Cell50"
"Cell51",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,10,11,11,11,10,11,11,10,11,10,11,11,11,10,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Cell51"
"Cell52",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,"Cell52"
"Cell53",2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,"Cell53"
"Cell54",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"Cell54"
"Cell55",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Cell55"
"Cell56",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,10,10,11,10,10,11,10,11,10,10,10,11,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Cell56"
"Cell57",2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,"Cell57"
"Cell58",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,"Cell58"
"Cell59",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,25,26,26,25,26,26,26,26,26,26,26,26,25,26,26,26,26,26,25,26,26,25,26,26,25,26,26,26,26,"Cell59"
"Cell60",3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,"Cell60"
"Cell61",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,26,25,25,26,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,25,25,26,25,25,26,25,25,25,25,"Cell61"
"Cell62",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,25,26,26,25,26,26,26,26,26,26,26,26,25,26,26,26,26,26,25,26,26,25,26,26,25,26,26,26,26,"Cell62"
"Cell63",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"Cell63"
"Cell64",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"Cell64"
"Cell65",3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,"Cell65"
"Cell66",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,25,26,26,25,26,26,26,26,26,26,26,26,25,26,26,26,26,26,25,26,26,25,26,26,25,26,26,26,26,"Cell66"
"Cell67",14,13,13,14,13,13,14,13,13,14,13,13,14,13,13,14,14,13,14,13,13,14,13,13,14,14,13,14,14,13,13,13,13,14,14,13,14,14,13,13,14,14,14,14,13,14,14,13,14,14,13,14,14,13,14,13,13,14,14,13,14,14,13,14,14,13,14,14,13,"Cell67"
"Cell68",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Cell68"
"Cell69",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Cell69"
"Cell70",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Cell70"
"Cell71",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,"Cell71"
"Cell72",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,"Cell72"
"Cell73",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,"Cell73"
"Cell74",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,"Cell74"
"Cell75",13,14,14,13,14,14,13,14,14,13,14,14,13,14,14,13,13,14,13,14,14,13,14,14,13,13,14,13,13,14,14,14,14,13,13,14,13,13,14,14,13,13,13,13,14,13,13,14,13,13,14,13,13,14,13,14,14,13,13,14,13,13,14,13,13,14,13,13,14,"Cell75"
"Cell76",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Cell76"
"Cell77",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"Cell77"
"Cell78",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Cell78"
"Cell79",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,"Cell79"
"Cell80",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Cell80"
"Cell81",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Cell81"
"Cell82",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Cell82"
"Cell83",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell83"
"Cell84",2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,"Cell84"
"Cell85",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Cell85"
"Cell86",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell86"
"Cell87",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,"Cell87"
