Metric,method,Value,Name,n_clus,clustering,level
ARI,Dune,0.9861101598583301,SC3.00,40,SC3,0
ARI,Dune,0.8499365476270463,UMAP_KMEANS.00,40,UMAP_KMEANS,0
ARI,Dune,0.7717603482172702,TSNE_KMEANS.00,40,TSNE_KMEANS,0
ARI,Dune,0.9861101598583301,SC3.05,40,SC3,5
ARI,Dune,0.8499365476270463,UMAP_KMEANS.05,40,UMAP_KMEANS,5
ARI,Dune,0.7843761917352723,TSNE_KMEANS.05,39,TSNE_KMEANS,5
ARI,Dune,0.9861101598583301,SC3.10,40,SC3,10
ARI,Dune,0.8623847728177324,UMAP_KMEANS.10,39,UMAP_KMEANS,10
ARI,Dune,0.7843761917352723,TSNE_KMEANS.10,39,TSNE_KMEANS,10
ARI,Dune,0.9861101598583301,SC3.15,40,SC3,15
ARI,Dune,0.8623847728177324,UMAP_KMEANS.15,39,UMAP_KMEANS,15
ARI,Dune,0.7945617638894222,TSNE_KMEANS.15,38,TSNE_KMEANS,15
ARI,Dune,0.9861101598583301,SC3.20,40,SC3,20
ARI,Dune,0.8623847728177324,UMAP_KMEANS.20,39,UMAP_KMEANS,20
ARI,Dune,0.8126769212156709,TSNE_KMEANS.20,36,TSNE_KMEANS,20
ARI,Dune,0.9861101598583301,SC3.25,40,SC3,25
ARI,Dune,0.8697993650186792,UMAP_KMEANS.25,38,UMAP_KMEANS,25
ARI,Dune,0.8126769212156709,TSNE_KMEANS.25,36,TSNE_KMEANS,25
ARI,Dune,0.9861101598583301,SC3.30,40,SC3,30
ARI,Dune,0.8765239755969693,UMAP_KMEANS.30,37,UMAP_KMEANS,30
ARI,Dune,0.8126769212156709,TSNE_KMEANS.30,36,TSNE_KMEANS,30
ARI,Dune,0.954218413004368,SC3.35,39,SC3,35
ARI,Dune,0.8765239755969693,UMAP_KMEANS.35,37,UMAP_KMEANS,35
ARI,Dune,0.7878859428122598,TSNE_KMEANS.35,35,TSNE_KMEANS,35
ARI,Dune,0.954218413004368,SC3.40,39,SC3,40
ARI,Dune,0.8765239755969693,UMAP_KMEANS.40,37,UMAP_KMEANS,40
ARI,Dune,0.7878859428122598,TSNE_KMEANS.40,35,TSNE_KMEANS,40
ARI,Dune,0.954218413004368,SC3.45,39,SC3,45
ARI,Dune,0.8765239755969693,UMAP_KMEANS.45,37,UMAP_KMEANS,45
ARI,Dune,0.7878859428122598,TSNE_KMEANS.45,35,TSNE_KMEANS,45
ARI,Dune,0.954218413004368,SC3.50,39,SC3,50
ARI,Dune,0.884824658179608,UMAP_KMEANS.50,36,UMAP_KMEANS,50
ARI,Dune,0.7878859428122598,TSNE_KMEANS.50,35,TSNE_KMEANS,50
ARI,Dune,0.954218413004368,SC3.55,39,SC3,55
ARI,Dune,0.884824658179608,UMAP_KMEANS.55,36,UMAP_KMEANS,55
ARI,Dune,0.8006259481396146,TSNE_KMEANS.55,33,TSNE_KMEANS,55
ARI,Dune,0.954218413004368,SC3.60,39,SC3,60
ARI,Dune,0.884824658179608,UMAP_KMEANS.60,36,UMAP_KMEANS,60
ARI,Dune,0.8122314136182462,TSNE_KMEANS.60,31,TSNE_KMEANS,60
ARI,Dune,0.954218413004368,SC3.65,39,SC3,65
ARI,Dune,0.884824658179608,UMAP_KMEANS.65,36,UMAP_KMEANS,65
ARI,Dune,0.8279243058470779,TSNE_KMEANS.65,29,TSNE_KMEANS,65
ARI,Dune,0.954218413004368,SC3.70,39,SC3,70
ARI,Dune,0.8926332670850359,UMAP_KMEANS.70,35,UMAP_KMEANS,70
ARI,Dune,0.832942667605404,TSNE_KMEANS.70,28,TSNE_KMEANS,70
ARI,Dune,0.954218413004368,SC3.75,39,SC3,75
ARI,Dune,0.9000177738963603,UMAP_KMEANS.75,33,UMAP_KMEANS,75
ARI,Dune,0.8374936518588452,TSNE_KMEANS.75,27,TSNE_KMEANS,75
ARI,Dune,0.954218413004368,SC3.80,39,SC3,80
ARI,Dune,0.9102074223238903,UMAP_KMEANS.80,31,UMAP_KMEANS,80
ARI,Dune,0.8452074266790115,TSNE_KMEANS.80,26,TSNE_KMEANS,80
ARI,Dune,0.9257023613099451,SC3.85,37,SC3,85
ARI,Dune,0.91506962005383,UMAP_KMEANS.85,30,UMAP_KMEANS,85
ARI,Dune,0.8195269666036455,TSNE_KMEANS.85,25,TSNE_KMEANS,85
ARI,Dune,0.9257023613099451,SC3.90,37,SC3,90
ARI,Dune,0.91506962005383,UMAP_KMEANS.90,30,UMAP_KMEANS,90
ARI,Dune,0.8195269666036455,TSNE_KMEANS.90,25,TSNE_KMEANS,90
ARI,Dune,0.9257023613099451,SC3.95,37,SC3,95
ARI,Dune,0.91506962005383,UMAP_KMEANS.95,30,UMAP_KMEANS,95
ARI,Dune,0.8195269666036455,TSNE_KMEANS.95,25,TSNE_KMEANS,95
ARI,Dune,0.9301604365854687,SC3.100,29,SC3,100
ARI,Dune,0.9158976049840881,UMAP_KMEANS.100,28,UMAP_KMEANS,100
ARI,Dune,0.8195269666036455,TSNE_KMEANS.100,25,TSNE_KMEANS,100
ARI,Dune_NMI,0.9861101598583301,SC3.00,40,SC3,0
ARI,Dune_NMI,0.8499365476270463,UMAP_KMEANS.00,40,UMAP_KMEANS,0
ARI,Dune_NMI,0.7717603482172702,TSNE_KMEANS.00,40,TSNE_KMEANS,0
ARI,Dune_NMI,0.9861101598583301,SC3.05,40,SC3,5
ARI,Dune_NMI,0.8623847728177324,UMAP_KMEANS.05,39,UMAP_KMEANS,5
ARI,Dune_NMI,0.7843761917352723,TSNE_KMEANS.05,39,TSNE_KMEANS,5
ARI,Dune_NMI,0.9861101598583301,SC3.10,40,SC3,10
ARI,Dune_NMI,0.8623847728177324,UMAP_KMEANS.10,39,UMAP_KMEANS,10
ARI,Dune_NMI,0.7945617638894222,TSNE_KMEANS.10,38,TSNE_KMEANS,10
