"Comp" "rep" "nb_garb" "clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "1" 1 1 "Monocle.00" 6 28 1776 8929 0.176470588235294 0.165903783278842 "Monocle" 0
"2" "1" 1 1 "Monocle.05" 6 27 1776 8929 0.181818181818182 0.165903783278842 "Monocle" 5
"3" "1" 1 1 "Monocle.10" 6 26 1776 8929 0.1875 0.165903783278842 "Monocle" 10
"4" "1" 1 1 "Monocle.100" 10 18 3670 7035 0.357142857142857 0.342830453059318 "Monocle" 100
"5" "1" 1 1 "Monocle.15" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" 15
"6" "1" 1 1 "Monocle.20" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" 20
"7" "1" 1 1 "Monocle.25" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" 25
"8" "1" 1 1 "Monocle.30" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 30
"9" "1" 1 1 "Monocle.35" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 35
"10" "1" 1 1 "Monocle.40" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 40
"11" "1" 1 1 "Monocle.45" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 45
"12" "1" 1 1 "Monocle.50" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 50
"13" "1" 1 1 "Monocle.55" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 55
"14" "1" 1 1 "Monocle.60" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 60
"15" "1" 1 1 "Monocle.65" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 65
"16" "1" 1 1 "Monocle.70" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 70
"17" "1" 1 1 "Monocle.75" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 75
"18" "1" 1 1 "Monocle.80" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 80
"19" "1" 1 1 "Monocle.85" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 85
"20" "1" 1 1 "Monocle.90" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 90
"21" "1" 1 1 "Monocle.95" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 95
"22" "1" 1 1 "sc3.00" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 0
"23" "1" 1 1 "sc3.05" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" 5
"24" "1" 1 1 "sc3.10" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" 10
"25" "1" 1 1 "sc3.100" 10 27 3001 7704 0.27027027027027 0.280336291452592 "sc3" 100
"26" "1" 1 1 "sc3.15" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" 15
"27" "1" 1 1 "sc3.20" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 20
"28" "1" 1 1 "sc3.25" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 25
"29" "1" 1 1 "sc3.30" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 30
"30" "1" 1 1 "sc3.35" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 35
"31" "1" 1 1 "sc3.40" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 40
"32" "1" 1 1 "sc3.45" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 45
"33" "1" 1 1 "sc3.50" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 50
"34" "1" 1 1 "sc3.55" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" 55
"35" "1" 1 1 "sc3.60" 6 44 1360 9345 0.12 0.12704343764596 "sc3" 60
"36" "1" 1 1 "sc3.65" 6 44 1360 9345 0.12 0.12704343764596 "sc3" 65
"37" "1" 1 1 "sc3.70" 8 41 1727 8978 0.163265306122449 0.161326482951892 "sc3" 70
"38" "1" 1 1 "sc3.75" 8 41 1727 8978 0.163265306122449 0.161326482951892 "sc3" 75
"39" "1" 1 1 "sc3.80" 8 38 1727 8978 0.173913043478261 0.161326482951892 "sc3" 80
"40" "1" 1 1 "sc3.85" 8 35 1727 8978 0.186046511627907 0.161326482951892 "sc3" 85
"41" "1" 1 1 "sc3.90" 10 31 2939 7766 0.24390243902439 0.274544605324615 "sc3" 90
"42" "1" 1 1 "sc3.95" 10 30 2939 7766 0.25 0.274544605324615 "sc3" 95
"43" "1" 1 1 "Seurat.00" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 0
"44" "1" 1 1 "Seurat.05" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 5
"45" "1" 1 1 "Seurat.10" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 10
"46" "1" 1 1 "Seurat.100" 8 22 3195 7510 0.266666666666667 0.298458664175619 "Seurat" 100
"47" "1" 1 1 "Seurat.15" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 15
"48" "1" 1 1 "Seurat.20" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 20
"49" "1" 1 1 "Seurat.25" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 25
"50" "1" 1 1 "Seurat.30" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 30
"51" "1" 1 1 "Seurat.35" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 35
"52" "1" 1 1 "Seurat.40" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 40
"53" "1" 1 1 "Seurat.45" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 45
"54" "1" 1 1 "Seurat.50" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 50
"55" "1" 1 1 "Seurat.55" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 55
"56" "1" 1 1 "Seurat.60" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" 60
"57" "1" 1 1 "Seurat.65" 6 30 2705 8000 0.166666666666667 0.252685660906119 "Seurat" 65
"58" "1" 1 1 "Seurat.70" 6 30 2705 8000 0.166666666666667 0.252685660906119 "Seurat" 70
"59" "1" 1 1 "Seurat.75" 8 27 3195 7510 0.228571428571429 0.298458664175619 "Seurat" 75
"60" "1" 1 1 "Seurat.80" 8 27 3195 7510 0.228571428571429 0.298458664175619 "Seurat" 80
"61" "1" 1 1 "Seurat.85" 8 25 3195 7510 0.242424242424242 0.298458664175619 "Seurat" 85
"62" "1" 1 1 "Seurat.90" 8 25 3195 7510 0.242424242424242 0.298458664175619 "Seurat" 90
"63" "1" 1 1 "Seurat.95" 8 25 3195 7510 0.242424242424242 0.298458664175619 "Seurat" 95
"64" "1" 1 2 "Monocle.00" 6 28 1776 8929 0.176470588235294 0.165903783278842 "Monocle" 0
"65" "1" 1 2 "Monocle.05" 6 27 1776 8929 0.181818181818182 0.165903783278842 "Monocle" 5
"66" "1" 1 2 "Monocle.10" 6 26 1776 8929 0.1875 0.165903783278842 "Monocle" 10
"67" "1" 1 2 "Monocle.100" 10 17 3981 6724 0.37037037037037 0.371882297991593 "Monocle" 100
"68" "1" 1 2 "Monocle.15" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" 15
"69" "1" 1 2 "Monocle.20" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" 20
"70" "1" 1 2 "Monocle.25" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 25
"71" "1" 1 2 "Monocle.30" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 30
"72" "1" 1 2 "Monocle.35" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" 35
"73" "1" 1 2 "Monocle.40" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 40
"74" "1" 1 2 "Monocle.45" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 45
"75" "1" 1 2 "Monocle.50" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 50
"76" "1" 1 2 "Monocle.55" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 55
"77" "1" 1 2 "Monocle.60" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 60
"78" "1" 1 2 "Monocle.65" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 65
"79" "1" 1 2 "Monocle.70" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 70
"80" "1" 1 2 "Monocle.75" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 75
"81" "1" 1 2 "Monocle.80" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" 80
"82" "1" 1 2 "Monocle.85" 10 18 3893 6812 0.357142857142857 0.36366184026156 "Monocle" 85
"83" "1" 1 2 "Monocle.90" 10 18 3893 6812 0.357142857142857 0.36366184026156 "Monocle" 90
"84" "1" 1 2 "Monocle.95" 10 17 3981 6724 0.37037037037037 0.371882297991593 "Monocle" 95
"85" "1" 1 2 "sc3.00" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 0
"86" "1" 1 2 "sc3.05" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" 5
"87" "1" 1 2 "sc3.10" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" 10
"88" "1" 1 2 "sc3.100" 10 26 3753 6952 0.277777777777778 0.350583839327417 "sc3" 100
